date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:34:39	67/67	---MC-	200	added ('OK')	text/plain	date:Sat,%2019%20Feb%202022%2004:34:35%20GMT	https://www.lamafiabarbearia.com.br/robots.txt		(from )
01:34:42	165047/165047	---M--	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2004:34:35%20GMT	https://www.lamafiabarbearia.com.br/	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/index.html	(from )
01:34:42	7755/7755	---M--	200	added ('OK')	text/css	etag:%221e4572-1e4b-5631f88c06740%22	https://www.lamafiabarbearia.com.br/wp-content/themes/trimmer-child/css/normalize.css	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/themes/trimmer-child/css/normalize.css	(from https://www.lamafiabarbearia.com.br/)
01:34:43	37675/37675	---M--	200	added ('OK')	text/css	etag:%221e4575-932b-5631f88cfa980%22	https://www.lamafiabarbearia.com.br/wp-content/themes/trimmer-child/css/webflow.css	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/themes/trimmer-child/css/webflow.css	(from https://www.lamafiabarbearia.com.br/)
01:34:44	17698/17698	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	(from https://www.lamafiabarbearia.com.br/)
01:34:44	91566/91566	---M--	200	added ('OK')	text/css	etag:%221e4571-165ae-5631f88c06740%22	https://www.lamafiabarbearia.com.br/wp-content/themes/trimmer-child/css/la-mafia-barbearia.webflow.css	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/themes/trimmer-child/css/la-mafia-barbearia.webflow.css	(from https://www.lamafiabarbearia.com.br/)
01:34:45	13586/13586	---M--	200	added ('OK')	image/png	etag:%221e45d1-3512-5631f89b48b40%22	https://www.lamafiabarbearia.com.br/wp-content/themes/trimmer-child/images/favicon.png	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/themes/trimmer-child/images/favicon.png	(from https://www.lamafiabarbearia.com.br/)
01:34:45	9496/9496	---MCZ	200	added ('OK')	text/javascript	etag:W/%220e2955878d316037b2468d8f2c7e847b%22	https://use.fontawesome.com/c41e47446c.js	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/use.fontawesome.com/c41e47446c.js	(from https://www.lamafiabarbearia.com.br/)
01:34:45	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.google-analytics.com/analytics.js	(from https://www.lamafiabarbearia.com.br/)
01:34:46	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2019%20Feb%202022%2004:34:46%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.googletagmanager.com/gtm.75445.delayed	(from https://www.lamafiabarbearia.com.br/)
01:34:48	107689/107689	---M--	200	added ('OK')	text/css	etag:%221e3258-1a4a9-56337b87b6940%22	https://www.lamafiabarbearia.com.br/wp-content/plugins/page-builder-pmc/assets/css/aqpb-view.css?ver=1645245279	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/plugins/page-builder-pmc/assets/css/aqpb-view8ee2.css	(from https://www.lamafiabarbearia.com.br/)
01:34:48	760/760	---MC-	200	added ('OK')	application/rss+xml	etag:%22f1ebf8d3ecbdc9482a2cd6b08448e887%22	https://www.lamafiabarbearia.com.br/home-page-barber-4/feed/	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/home-page-barber-4/feed/index.html	(from https://www.lamafiabarbearia.com.br/)
01:34:49	20674/20674	---M--	200	added ('OK')	text/css	etag:%221e325b-50c2-56337b87b6940%22	https://www.lamafiabarbearia.com.br/wp-content/plugins/page-builder-pmc/assets/css/custom-theme.css?ver=1645245279	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/plugins/page-builder-pmc/assets/css/custom-theme8ee2.css	(from https://www.lamafiabarbearia.com.br/)
